"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","Kmeans","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ortholog","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","X_Code"
"3.232","0.0022111315745286892","0.3094059405940594","0.2","6",,"6","false","Cluster 3","","Unclustered","1.4","Ask1","9.333333333333334","0","6","Human","0","0.9412631578947369","false","0","Ask1","766","0.23076923076923078",""
"3.752","0.0","0.26652452025586354","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","Mppe","11.0","0","1","Human","0","0.927578947368421","false","0","Mppe","0","0.0",""
"2.636","0.02587754846241577","0.3793626707132018","0.22875816993464052","18",,"5","false","","Cluster 8","Clustered","1.8461538461538463","hep","14.0","0","18","Human","0","0.9569473684210525","false","0","hep","9894","0.13155136268343814",""
"2.688","0.01575901687069493","0.3720238095238095","0.24358974358974358","13",,"6","false","","Cluster 8","Clustered","2.2222222222222223","arm","16.384615384615383","0","13","Human","0","0.955578947368421","false","0","arm","5482","0.1664050235478807",""
"2.684","0.025271187277849227","0.37257824143070045","0.20833333333333334","16","16","5","false","","Cluster 2","Clustered","3.0","H","14.0625","0","16",,"0","0.9556842105263158","false","0","H","9416","0.13401442307692307",""
"2.708","0.011846353705368132","0.3692762186115214","0.17582417582417584","14",,"5","false","","","Unclustered","1.5333333333333332","Pten","16.928571428571427","0","14","Human","0","0.9550526315789474","false","0","Pten","5836","0.16548797736916548",""
"2.608","0.011039901208053779","0.3834355828220859","0.5211640211640212","28","28","5","false","","Cluster 1","Clustered","11.81045751633987","wal","22.607142857142858","0","28","Human","0","0.9576842105263159","false","0","wal","6948","0.21128170894526035",""
"2.52","0.030138679821357723","0.3968253968253968","0.17894736842105263","20",,"5","false","","Cluster 8","Clustered","2.327272727272727","Diap1","14.7","0","20","Human","0","0.96","false","0","Diap1","11070","0.1168",""
"3.2","0.005749062053800898","0.3125","0.7532467532467533","22","22","6","false","","Cluster 1","Clustered","13.099415204678362","CG5500","18.272727272727273","0","22","Human","0","0.9421052631578947","false","0","CG5500","6090","0.38878143133462284",""
"3.916","0.001791147241386372","0.2553626149131767","0.0","2",,"7","false","Cluster 3","","Unclustered","0.6666666666666666","Ace","12.0","0","2","Human","0","0.9232631578947369","false","0","Ace","354","0.5",""
"3.864","0.0","0.2587991718426501","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","Rph","10.0","0","1","Human","0","0.9246315789473685","false","0","Rph","0","0.0",""
