FlyBase.ID,Symbol,FB_Day5,FB_Day7,FB_Day14,FB_Day21,FB_Day28,FB_Day35,FB_Day42,FB_Day49,FB_Day56,FB_Day63,FB_Day70,FH_Day5,FH_Day7,FH_Day14,FH_Day21,FH_Day28,FH_Day35,FH_Day42,FH_Day49,FH_Day56,FH_Day63,FH_Day70,MB_Day5,MB_Day7,MB_Day14,MB_Day21,MB_Day28,MB_Day35,MB_Day42,MB_Day49,MB_Day56,MB_Day63,MB_Day70,MH_Day5,MH_Day7,MH_Day14,MH_Day21,MH_Day28,MH_Day35,MH_Day42,MH_Day49,MH_Day56,MH_Day63,MH_Day70
FBgn0053542,upd3,1.15717,1.569369,1.975706,4.844811,4.170654,5.925851,6.231498,5.999617,4.755847,5.827377,8.691184,0.735227,0.693443,0.782851,0.222347,1.336729,1.304677,1.393803,2.655041,2.766862,3.057693,3.959057,0.376552,0.429031,1.289889,1.869729,1.093456,3.340678,5.477954,4.60607,4.127006,4.399568,6.033922,0.350144,0.449808,0.672522,0.629607,0.747591,0.651617,1.661308,0.878713,1.399259,2.942982,3.014805
FBgn0031888,Pvf2,2.214185,4.156446,5.423203,3.928299,4.691601,4.551906,5.866753,5.673744,8.37682,8.784985,8.509262,5.246293,3.347651,3.532016,5.197766,4.765798,5.619235,6.858378,7.580165,8.050648,9.934301,11.113485,4.023404,5.274478,6.53795,6.216949,6.39288,5.298466,14.719201,9.962104,8.678016,10.981598,13.080097,4.599107,2.759814,3.912125,5.445059,6.09379,5.480471,6.601164,9.820942,9.519732,9.639975,12.312101
FBgn0039807,CG15546,8.970535,10.758327,9.610696,10.22652,11.20998,15.216555,16.198905,17.57578,18.16,20.101485,26.48021,9.310094,9.725398,9.965354,8.641907,9.77219,12.98228,16.12519,18.439115,20.82283,23.2422,25.01116,24.5443,20.06691,25.0323,17.54444,21.74646,37.98385,37.71655,33.2146,32.00995,32.85855,42.24171,14.538395,9.815837,10.473581,11.941421,13.535483,18.67262,17.37093,23.159695,21.497985,22.51615,37.586675
FBgn0039075,CG4393,18.45191,23.87071,30.51503,26.23248,49.64552,45.25675,49.44513,53.19702,56.97196,63.34443,66.90435,52.59723,54.56204,58.08422,65.32233,72.36619,75.99426,78.64959,93.64326,83.50966,79.6901,96.22258,40.90315,44.73287,46.92359,49.72853,55.84046,71.17319,73.25148,66.58612,60.21323,69.49051,69.33741,51.77596,63.82932,77.55309,73.476,95.74374,98.50374,78.78166,79.32122,82.51913,70.23554,94.23113
FBgn0005278,Sams,430.4327,643.8596,574.8094,609.6946,504.6037,473.7014,425.4324,385.049,342.712,318.2874,300.856,601.9623,987.3851,805.7857,890.0182,698.5524,700.6849,648.5803,524.0219,523.9891,460.8281,450.4921,531.3556,721.2826,650.4354,677.4521,546.947,502.1127,457.8535,479.0581,414.1809,410.7811,435.0524,630.0208,945.2625,811.4641,792.9946,683.5025,605.4196,572.4543,635.4494,464.5842,482.6909,530.0189
FBgn0039635,Pdhb,409.2058,293.4476,250.4426,249.5281,171.8292,160.7506,159.6378,142.166,156.9101,131.7399,136.4847,134.60425,147.74885,106.977,114.03105,100.2451,113.4878,87.2595,101.61557,106.61374,101.03028,89.72733,414.6175,284.2799,238.4472,205.4795,173.646,200.9342,129.3844,146.5208,148.9579,156.7214,120.3749,198.3694,163.36825,126.23555,131.7184,114.25293,109.43158,136.59855,131.09565,130.0692,109.7251,94.10564
FBgn0043841,vir-1,367.0639,469.2703,601.4103,588.0593,567.3084,661.6807,641.9997,650.3324,645.6128,648.4305,694.8034,447.8124,573.1267,548.355,693.6461,658.9224,782.365,906.3524,869.3651,1044.3711,1071.7789,1200.9235,512.7213,536.8477,583.9644,674.0758,686.4496,875.4405,947.2387,952.1797,840.3739,944.174,989.0241,551.5802,525.8659,526.1625,579.9535,660.8433,768.6666,836.2996,1191.6095,1084.0513,963.0223,1084.7234
FBgn0053468,CG33468,1.439687,0.684885,2.926123,1.880647,3.670248,4.826235,3.680318,4.587674,4.532962,3.087901,4.688582,1.216017,0.991758,0.488088,1.188773,2.124888,1.468557,1.85233,2.840234,3.586914,3.619253,2.511201,2.09424,0.680119,1.896324,1.831558,2.792497,2.556004,4.0141,4.732018,3.021154,4.59413,4.582485,0.910556,0.902325,0.904897,1.320277,0.926611,1.63637,2.789456,2.87208,2.274402,2.63521,3.230255
FBgn0003423,slgA,130.447,118.65302,112.82506,104.38477,114.5428,98.39108,81.25122,76.42678,57.74989,50.81146,43.67435,299.9503,297.7733,257.8457,257.0256,223.1067,220.9358,219.9213,218.2997,194.3449,189.0879,195.5632,225.6652,202.3499,171.68375,144.7971,159.34955,159.86965,120.37215,99.35913,78.74048,67.32035,67.8111,383.4327,335.2637,395.7561,297.0979,354.9751,333.6679,190.5329,170.0591,183.6042,153.1233,205.0655
FBgn0035976,PGRP-LC,38.35678,42.17696,50.20943,58.52658,60.48246,64.68569,69.3129,60.0085,63.31499,75.31318,76.42033,38.1775,38.69427,44.57651,50.85245,51.81256,55.27313,65.82278,71.35049,71.4841,68.39267,75.21944,67.15052,57.2802,67.99712,70.22339,69.23389,66.51676,75.2987,80.98548,62.81832,65.04345,74.98928,47.17234,42.88211,49.10556,45.0384,50.38632,51.87633,53.82787,60.42331,52.23822,51.78909,60.99802
FBgn0037850,CG14695,2.287058,2.221068,3.355168,3.585403,4.28876,5.849833,6.495407,6.32924,7.34635,6.461429,6.242813,1.402259,1.898075,1.692499,1.677938,2.671451,3.395768,3.855782,4.034129,3.958691,4.507885,4.602254,1.697053,2.286118,4.86267,5.658391,4.930583,4.395159,7.957949,9.546543,10.492304,15.596218,13.697951,1.982005,1.686779,3.106203,3.321737,3.128837,5.069062,5.331597,3.610309,5.147239,6.256683,8.136012
FBgn0037151,CG7130,5.439795,6.269298,6.03764,8.264048,9.672046,10.481464,12.666144,12.001109,12.10203,10.551372,11.279421,1.941501,2.433467,4.022673,3.740828,4.828886,4.1668,6.902409,7.544516,7.024183,9.170442,9.707814,5.242961,6.276572,6.297467,10.009912,8.281878,12.19282,13.480182,16.895884,16.781907,14.918745,18.24037,3.926274,3.322074,3.128693,3.480074,5.350373,5.593174,7.462392,8.808757,7.130418,9.445125,10.664042
