Symbol,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
mRpL22,32.07245,27.33864,30.92508,28.11963,22.11227,25.48141,18.43813,20.54302,19.38297,23.06443,18.29552
Rrp45,5.670374,4.541396,5.792792,7.31553,5.99858,5.76133,5.954458,7.3318,7.66255,7.113465,7.324129
CG9132,32.91022,33.28872,38.42275,33.20667,31.65209,35.6436,34.5723,33.4918,29.38087,32.30858,30.96359
CG4829,26.88761,27.1791,29.96963,20.3797,19.52847,27.38564,17.23432,14.19612,14.79878,15.89789,14.22133
CG16700,45.5949,41.70027,34.76765,29.31066,31.76083,32.4249,27.661,23.71213,17.54482,19.24036,19.32221
CG8661,132.00746,94.96258,93.54867,84.83859,57.92818,85.74563,29.00696,32.08942,20.0489,22.33583,20.24346
CG12991,33.58146,29.75329,37.54682,29.96299,28.11366,43.29077,39.96373,45.56475,47.86271,54.86514,66.83731
ND-24,340.41695,254.4622,243.55085,202.7887,210.08445,227.9384,125.7437,149.88875,120.0928,131.76035,99.82811
CG12986,0.532037,0.202324,0.151093,0.829287,0.588115,0.172995,0.795451,0.996654,2.046892,1.607438,1.503484
Ucp4A,74.24757,63.10028,43.75004,40.38021,36.12799,40.79218,26.44122,29.97454,25.72303,29.84913,25.9768
CG7772,41.57014,40.32695,30.32468,31.78528,29.36935,26.61885,18.26884,18.09451,20.92614,23.95715,19.86359
CG6847,30.97592,21.25454,20.72172,20.24378,17.36574,14.36952,13.10061,17.16661,16.70875,17.93254,12.88663
Hesr,0.22475,0.351686,0.099698,0.374873,0.578856,0.156875,0.08402,0.28049,0.611413,0.268605,0.173675
Hayan,9.795499,9.028698,10.355192,8.891693,6.331709,13.438986,8.381335,9.842585,16.243502,18.03834,11.19702
CG15044,10.117512,7.111382,12.220735,4.34402,3.784168,3.795869,3.204412,4.220389,3.384004,4.405343,4.143487
GalNAc-T2,39.73457,52.2954,54.68368,57.71912,41.63974,35.97257,49.12635,43.78703,40.47665,39.28448,38.24811
wgn,44.13665,45.96619,53.12194,35.81654,38.83435,54.22614,39.24972,37.11999,24.97611,24.04134,30.28323
CG6659,66.90969,68.00402,61.46565,70.08782,59.20084,62.61533,42.54394,44.89331,47.96238,43.25478,40.10149
Atg101,53.08167,58.8321,54.48532,59.39601,58.83521,63.81525,69.43429,52.59267,38.45634,39.28355,52.07384
CG7058,3.91287,3.14305,3.377362,3.208702,3.59884,4.770047,3.430968,3.741854,2.365891,3.304659,2.332163
CG14191,1.447988,1.957685,1.947718,2.390116,4.46481,1.330587,5.829915,5.56963,3.639204,2.623834,1.476235
HP1D3csd,0.732471,1.166311,2.388629,1.419949,2.257342,2.390382,1.474729,2.271227,3.058368,2.419027,3.686862
CG7990,11.706935,12.842016,12.072588,10.946212,10.206092,12.66679,9.399272,9.913398,9.648325,9.715227,9.981109
CG14196,53.00079,40.4059,37.04038,33.32648,35.37615,34.16046,25.0254,28.67857,28.51161,36.37127,31.57381
CG8051,54.33602,57.54163,70.88483,56.92701,46.29963,65.05652,35.49808,40.78197,36.21802,43.0578,40.27998
ND-18,129.97725,81.44527,67.74559,64.61521,56.75145,63.98494,35.70336,48.85556,43.11892,52.07106,37.07991
CG14205,9.920757,23.83825,13.741094,18.205035,15.25725,7.489913,17.144045,7.466228,11.41205,4.804711,8.222297
CG14221,1.333772,1.036003,1.593107,0.928797,1.014542,1.905995,1.055881,1.251183,1.278646,1.706162,1.277762
Ubqn,256.3003,289.4017,335.2457,267.88,246.9795,323.1128,266.8836,248.7555,195.8172,172.1913,203.8799
CG14227,1.333772,0.814625,1.047344,0.680904,1.120956,1.046719,0.801318,1.207037,1.315859,1.380838,2.448794
COX6B,713.2135,536.8849,427.8986,339.7703,282.4966,345.5587,233.7269,225.7075,215.0178,198.5231,191.8743
Pmp70,254.6938,292.9047,350.1755,325.5188,233.288,227.5421,145.332,152.0358,151.4792,129.9248,125.4529
Nep3,41.38511,40.95879,42.01173,35.65956,41.30347,44.52159,38.86271,36.31817,27.50946,31.60745,32.22608
CG9572,132.20039,71.0531,47.32872,47.11865,44.7183,55.97586,43.50203,52.03876,53.51953,54.44557,57.59012
