FBgn,Label,N,NObsUsed,NObsRead,SumFreqsUsed,SumFreqsRead,Label1,nvalue1,DependentVariables
FBgn0000273,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000274,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000274,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000276,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000276,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000277,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000277,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000278,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000278,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000279,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000279,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000281,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000281,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000283,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000283,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000286,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000286,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000287,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000287,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000289,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000289,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000299,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000299,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000303,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000303,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000307,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000307,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000308,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000308,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000316,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000316,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000317,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000317,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000318,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000318,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000319,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000319,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000320,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000320,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000326,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000326,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000330,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000330,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000339,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000339,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000346,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000346,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000351,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000351,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000352,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000352,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000355,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000355,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000356,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000356,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000357,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000357,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000358,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000358,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000359,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000359,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000360,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000360,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000370,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000370,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000376,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000376,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000377,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000377,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000382,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000382,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000384,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000384,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000394,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000394,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000395,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000395,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000404,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000404,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000405,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000405,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000406,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000406,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000411,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000411,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000412,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000412,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000414,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000414,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000416,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000416,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000422,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000422,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000426,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000426,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000427,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000427,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000439,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000439,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000442,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000442,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000447,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000447,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
