FBgn,Dependent,Source,DF,SS,MS,FValue,ProbF
FBgn0000120,Expression,Model,65,644511435,9915561,51.55,3.81441E-39
FBgn0000120,Expression,Error,66,12695099,192350,_,_
FBgn0000120,Expression,Corrected Total,131,657206534,_,_,_
FBgn0000121,Expression,Model,65,2813291992,43281415,29.98,9.30224E-32
FBgn0000121,Expression,Error,66,95282419,1443673,_,_
FBgn0000121,Expression,Corrected Total,131,2908574411,_,_,_
FBgn0000137,Expression,Model,65,22,0,1.30,1.46285E-01
FBgn0000137,Expression,Error,66,17,0,_,_
FBgn0000137,Expression,Corrected Total,131,40,_,_,_
FBgn0000139,Expression,Model,65,12102,186,6.47,7.09651E-13
FBgn0000139,Expression,Error,66,1900,29,_,_
FBgn0000139,Expression,Corrected Total,131,14002,_,_,_
FBgn0000140,Expression,Model,65,2169767,33381,18.24,3.24724E-25
FBgn0000140,Expression,Error,66,120755,1830,_,_
FBgn0000140,Expression,Corrected Total,131,2290522,_,_,_
FBgn0000146,Expression,Model,65,472168,7264,59.57,3.80106E-41
FBgn0000146,Expression,Error,66,8048,122,_,_
FBgn0000146,Expression,Corrected Total,131,480216,_,_,_
FBgn0000147,Expression,Model,65,185890,2860,17.06,2.35680E-24
FBgn0000147,Expression,Error,66,11063,168,_,_
FBgn0000147,Expression,Corrected Total,131,196953,_,_,_
FBgn0000150,Expression,Model,65,12561785,193258,2.85,1.79690E-05
FBgn0000150,Expression,Error,66,4481227,67897,_,_
FBgn0000150,Expression,Corrected Total,131,17043012,_,_,_
FBgn0000152,Expression,Model,65,1268,20,7.78,6.99316E-15
FBgn0000152,Expression,Error,66,166,3,_,_
FBgn0000152,Expression,Corrected Total,131,1434,_,_,_
FBgn0000153,Expression,Model,65,189508,2916,8.38,1.02419E-15
FBgn0000153,Expression,Error,66,22976,348,_,_
FBgn0000153,Expression,Corrected Total,131,212484,_,_,_
FBgn0000157,Expression,Model,65,21663,333,26.11,6.55739E-30
FBgn0000157,Expression,Error,66,843,13,_,_
FBgn0000157,Expression,Corrected Total,131,22506,_,_,_
FBgn0000158,Expression,Model,65,70571,1086,31.68,1.69254E-32
FBgn0000158,Expression,Error,66,2262,34,_,_
FBgn0000158,Expression,Corrected Total,131,72833,_,_,_
FBgn0000163,Expression,Model,65,244079,3755,6.48,6.82378E-13
FBgn0000163,Expression,Error,66,38257,580,_,_
FBgn0000163,Expression,Corrected Total,131,282336,_,_,_
FBgn0000166,Expression,Model,65,230680,3549,23.11,2.68677E-28
FBgn0000166,Expression,Error,66,10134,154,_,_
FBgn0000166,Expression,Corrected Total,131,240813,_,_,_
FBgn0000173,Expression,Model,65,220929,3399,2.62,6.83933E-05
FBgn0000173,Expression,Error,66,85682,1298,_,_
FBgn0000173,Expression,Corrected Total,131,306611,_,_,_
FBgn0000179,Expression,Model,65,41852,644,17.17,1.94935E-24
FBgn0000179,Expression,Error,66,2475,37,_,_
FBgn0000179,Expression,Corrected Total,131,44327,_,_,_
FBgn0000180,Expression,Model,65,1179,18,3.58,3.10103E-07
FBgn0000180,Expression,Error,66,335,5,_,_
FBgn0000180,Expression,Corrected Total,131,1514,_,_,_
FBgn0000181,Expression,Model,65,11874945,182691,4.72,1.05930E-09
FBgn0000181,Expression,Error,66,2555894,38726,_,_
FBgn0000181,Expression,Corrected Total,131,14430839,_,_,_
FBgn0000183,Expression,Model,65,53516,823,4.98,3.24614E-10
FBgn0000183,Expression,Error,66,10917,165,_,_
FBgn0000183,Expression,Corrected Total,131,64433,_,_,_
FBgn0000206,Expression,Model,65,286742,4411,46.06,1.35851E-37
FBgn0000206,Expression,Error,66,6322,96,_,_
FBgn0000206,Expression,Corrected Total,131,293063,_,_,_
FBgn0000212,Expression,Model,65,60167,926,3.21,2.31973E-06
FBgn0000212,Expression,Error,66,19054,289,_,_
FBgn0000212,Expression,Corrected Total,131,79222,_,_,_
FBgn0000221,Expression,Model,65,1800,28,3.77,1.12252E-07
FBgn0000221,Expression,Error,66,485,7,_,_
FBgn0000221,Expression,Corrected Total,131,2285,_,_,_
FBgn0000228,Expression,Model,65,181475,2792,5.73,1.31573E-11
FBgn0000228,Expression,Error,66,32184,488,_,_
FBgn0000228,Expression,Corrected Total,131,213658,_,_,_
