Genes,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
FBgn0086355,467.8422,335.7169,270.9438,277.5562,231.9994,233.1267,253.5111,259.949,269.862,270.1472,246.5918
FBgn0086357,314.7356,329.7763,327.7607,313.5391,278.926,279.4889,265.7433,258.0904,253.9075,242.6358,226.2463
FBgn0086359,88.12408,99.27915,98.03485,98.09678,92.36778,92.56013,84.91565,83.62861,83.2854,80.11069,77.29656
FBgn0086367,105.83814,103.98388,99.55542,81.88704,71.72117,64.35916,52.59606,53.96623,43.98654,42.06127,43.5583
FBgn0086372,165.149,167.4071,185.8565,155.9334,178.8268,178.6895,153.4525,131.551,133.8786,129.5537,150.4573
FBgn0086378,56.91496,52.68672,53.70893,48.73713,45.74303,44.37313,47.18604,43.70991,43.46555,44.93831,43.75133
FBgn0086673,2.822362,1.286066,1.274335,0.67358,1.042714,0.958267,0.780715,1.344082,1.253203,1.28414,1.659234
FBgn0086676,226.9864,228.9555,230.3563,204.5532,193.6447,192.1538,171.9823,167.3709,141.344,146.1702,154.4657
FBgn0086677,29.09969,24.9211,36.69507,25.59571,31.89163,28.56538,21.25809,15.06097,19.55117,13.82404,18.28604
FBgn0086690,221.0076,230.8266,242.0504,211.6019,244.451,234.1701,180.8757,159.4242,150.6844,145.2582,171.0009
FBgn0086768,48.6472,44.73756,38.33287,39.78288,34.9445,34.37367,33.90034,33.50562,35.47939,33.9463,33.54497
FBgn0086784,128.79891,124.90191,118.89381,117.31519,110.87266,113.15947,102.46758,96.55374,93.79276,90.48839,97.7887
FBgn0086898,11.82435,14.60405,15.88602,16.21731,16.48594,18.40732,16.735,15.8108,16.03737,17.66855,19.40545
FBgn0087005,104.46366,104.85686,111.11512,102.28433,105.23773,106.56008,80.77548,72.03029,76.3739,69.63934,76.30344
FBgn0087035,287.2291,303.5098,358.6195,339.8853,351.2645,366.0828,339.0561,322.3614,291.2479,310.5161,344.0639
FBgn0243486,19.61994,18.77255,16.45432,14.75017,15.2121,14.62241,13.65193,12.96624,11.278,11.2056,11.4432
FBgn0250791,150.4894,145.3905,150.7498,135.7716,141.053,138.5354,124.1473,118.6646,109.3963,110.1086,119.1636
FBgn0250814,647.9247,415.7091,304.1319,332.0058,269.5163,273.1649,252.667,242.2991,259.585,238.8184,201.1315
FBgn0250815,2746.2605,2981.52,2698.3374,2736.7917,1494.5569,1360.0309,951.1406,742.0777,587.428,445.5164,333.8897
FBgn0250836,62.43533,61.76145,89.68797,89.11602,68.69797,52.72224,55.34243,45.17202,45.57722,40.62461,48.85173
FBgn0250838,251.6828,236.4974,208.2614,204.0355,172.0014,176.9409,161.2984,146.9782,142.1533,128.201,129.448
FBgn0250839,18.13714,17.57208,15.05011,14.57969,14.90248,15.62567,13.29428,11.58449,12.45564,10.61287,11.08325
FBgn0250843,121.02137,109.88382,117.51775,116.92225,97.40071,101.06877,98.2312,93.28362,93.21357,93.11901,92.6385
FBgn0250862,4.59065,6.618857,5.424872,7.539455,4.766398,2.579744,3.731606,2.604553,2.571911,2.147334,2.095359
